TransactionID,Model,Latency_MS,ConcurrencyLoad,Cost_USD
TX-00001,gpt-4o,214.2,67,0.0076
TX-00002,claude-3-5-sonnet,1103.5,356,0.0182
TX-00003,llama-3-70b,510.9,235,0.0098
TX-00004,gpt-4o,369.5,245,0.0196
TX-00005,claude-3-5-sonnet,109.4,56,0.0022
TX-00006,llama-3-70b,109.4,100,0.0031
TX-00007,gpt-4o,70.9,392,0.021
TX-00008,claude-3-5-sonnet,753.9,226,0.0121
TX-00009,llama-3-70b,371.7,411,0.0119
TX-00010,gpt-4o,480.9,235,0.0214
TX-00011,claude-3-5-sonnet,57.3,241,0.0054
TX-00012,llama-3-70b,1276.2,147,0.0157
TX-00013,gpt-4o,675.3,175,0.0223
TX-00014,claude-3-5-sonnet,133.5,33,0.002
TX-00015,llama-3-70b,120.2,40,0.002
TX-00016,gpt-4o,120.9,17,0.0033
TX-00017,claude-3-5-sonnet,177.0,164,0.005
TX-00018,llama-3-70b,310.4,331,0.0097
TX-00019,gpt-4o,247.9,191,0.0145
TX-00020,claude-3-5-sonnet,170.5,247,0.0066
TX-00021,llama-3-70b,381.2,90,0.0056
TX-00022,gpt-4o,102.6,288,0.0165
TX-00023,claude-3-5-sonnet,170.9,70,0.0031
TX-00024,llama-3-70b,209.7,174,0.0056
TX-00025,gpt-4o,263.1,49,0.0077
TX-00026,claude-3-5-sonnet,588.3,66,0.0072
TX-00027,llama-3-70b,128.0,445,0.0102
TX-00028,gpt-4o,302.7,138,0.013
TX-00029,claude-3-5-sonnet,364.1,288,0.0094
TX-00030,llama-3-70b,66.6,32,0.0013
TX-00031,gpt-4o,377.4,112,0.0131
TX-00032,claude-3-5-sonnet,115.4,48,0.0021
TX-00033,llama-3-70b,73.5,344,0.0076
TX-00034,gpt-4o,1090.8,290,0.0363
TX-00035,claude-3-5-sonnet,1229.7,335,0.019
TX-00036,llama-3-70b,628.3,132,0.0089
TX-00037,gpt-4o,177.2,352,0.0211
TX-00038,claude-3-5-sonnet,86.0,235,0.0056
TX-00039,llama-3-70b,453.5,194,0.0084
TX-00040,gpt-4o,253.0,229,0.0165
TX-00041,claude-3-5-sonnet,95.6,389,0.0087
TX-00042,llama-3-70b,289.2,381,0.0105
TX-00043,gpt-4o,62.2,287,0.0156
TX-00044,claude-3-5-sonnet,890.1,125,0.0114
TX-00045,llama-3-70b,154.8,120,0.0039
TX-00046,gpt-4o,430.2,237,0.0205
TX-00047,claude-3-5-sonnet,180.7,263,0.0071
TX-00048,llama-3-70b,306.9,363,0.0103
TX-00049,gpt-4o,326.9,202,0.0166
TX-00050,claude-3-5-sonnet,121.5,415,0.0095
TX-00051,llama-3-70b,1272.5,141,0.0155
TX-00052,gpt-4o,572.3,322,0.0275
TX-00053,claude-3-5-sonnet,1031.8,169,0.0137
TX-00054,llama-3-70b,838.3,229,0.013
TX-00055,gpt-4o,368.9,311,0.0229
TX-00056,claude-3-5-sonnet,942.3,238,0.0142
TX-00057,llama-3-70b,82.4,176,0.0043
TX-00058,gpt-4o,126.3,156,0.0103
TX-00059,claude-3-5-sonnet,66.2,319,0.007
TX-00060,llama-3-70b,187.7,378,0.0094
TX-00061,gpt-4o,222.2,164,0.0126
TX-00062,claude-3-5-sonnet,160.8,100,0.0036
TX-00063,llama-3-70b,667.6,237,0.0114
TX-00064,gpt-4o,204.4,184,0.0133
TX-00065,claude-3-5-sonnet,165.4,117,0.004
TX-00066,llama-3-70b,323.8,322,0.0097
TX-00067,gpt-4o,103.2,446,0.0244
TX-00068,claude-3-5-sonnet,617.2,56,0.0073
TX-00069,llama-3-70b,77.1,272,0.0062
TX-00070,gpt-4o,1567.0,299,0.0463
TX-00071,claude-3-5-sonnet,567.8,390,0.0135
TX-00072,llama-3-70b,127.5,391,0.0091
TX-00073,gpt-4o,51.9,117,0.0069
TX-00074,claude-3-5-sonnet,641.5,105,0.0085
TX-00075,llama-3-70b,479.5,117,0.0071
TX-00076,gpt-4o,507.0,444,0.0323
TX-00077,claude-3-5-sonnet,566.3,85,0.0074
TX-00078,llama-3-70b,76.9,191,0.0046
TX-00079,gpt-4o,205.4,117,0.01
TX-00080,claude-3-5-sonnet,93.1,6,0.0011
TX-00081,llama-3-70b,746.0,134,0.0101
TX-00082,gpt-4o,391.7,224,0.019
TX-00083,claude-3-5-sonnet,190.6,58,0.0031
TX-00084,llama-3-70b,73.0,347,0.0077
TX-00085,gpt-4o,180.4,228,0.015
TX-00086,claude-3-5-sonnet,187.7,229,0.0065
TX-00087,llama-3-70b,507.8,389,0.0129
TX-00088,gpt-4o,405.2,407,0.0285
TX-00089,claude-3-5-sonnet,813.8,130,0.0107
TX-00090,llama-3-70b,273.7,134,0.0054
TX-00091,gpt-4o,94.6,57,0.0047
TX-00092,claude-3-5-sonnet,487.2,176,0.0084
TX-00093,llama-3-70b,550.6,222,0.0099
TX-00094,gpt-4o,338.4,164,0.015
TX-00095,claude-3-5-sonnet,565.9,202,0.0097
TX-00096,llama-3-70b,288.3,420,0.0113
TX-00097,gpt-4o,308.9,251,0.0187
TX-00098,claude-3-5-sonnet,245.2,328,0.009
TX-00099,llama-3-70b,59.0,443,0.0095
TX-00100,gpt-4o,90.0,207,0.0121
